key,keydown_time,keyup_time
shift,2021-04-11 13:52:08.176624+00:00,2021-04-11 13:52:08.411940+00:00
left,2021-04-11 13:52:08.524878+00:00,2021-04-11 13:52:09.145442+00:00
left,2021-04-11 13:52:09.409708+00:00,2021-04-11 13:52:09.493705+00:00
left,2021-04-11 13:52:09.569753+00:00,2021-04-11 13:52:09.653539+00:00
left,2021-04-11 13:52:09.731346+00:00,2021-04-11 13:52:09.795872+00:00
left,2021-04-11 13:52:09.882616+00:00,2021-04-11 13:52:09.993121+00:00
left,2021-04-11 13:52:10.060145+00:00,2021-04-11 13:52:10.143499+00:00
backspace,2021-04-11 13:52:10.444916+00:00,2021-04-11 13:52:10.550089+00:00
shift,2021-04-11 13:52:10.608945+00:00,2021-04-11 13:52:10.964651+00:00
left,2021-04-11 13:52:11.273843+00:00,2021-04-11 13:52:11.981405+00:00
backspace,2021-04-11 13:52:12.436117+00:00,2021-04-11 13:52:12.520058+00:00
A,2021-04-11 13:52:12.627027+00:00,2021-04-11 13:52:12.712714+00:00
shift,2021-04-11 13:52:12.521032+00:00,2021-04-11 13:52:12.734818+00:00
left,2021-04-11 13:52:12.809727+00:00,2021-04-11 13:52:13.519879+00:00
left,2021-04-11 13:52:13.677044+00:00,2021-04-11 13:52:13.761737+00:00
down,2021-04-11 13:52:14.109624+00:00,2021-04-11 13:52:14.235937+00:00
right,2021-04-11 13:52:17.269773+00:00,2021-04-11 13:52:17.358778+00:00
backspace,2021-04-11 13:52:17.593665+00:00,2021-04-11 13:52:17.679720+00:00
shift,2021-04-11 13:52:17.760947+00:00,2021-04-11 13:52:17.997915+00:00
left,2021-04-11 13:52:36.556529+00:00,2021-04-11 13:52:36.683451+00:00
left,2021-04-11 13:52:37.039408+00:00,2021-04-11 13:52:37.144284+00:00
right,2021-04-11 13:52:43.180021+00:00,2021-04-11 13:52:44.721398+00:00
left,2021-04-11 13:52:45.638344+00:00,2021-04-11 13:52:47.497741+00:00
shift,2021-04-11 13:52:48.568443+00:00,2021-04-11 13:52:48.891095+00:00
t,2021-04-11 13:52:49.555581+00:00,2021-04-11 13:52:49.641402+00:00
r,2021-04-11 13:52:49.708656+00:00,2021-04-11 13:52:49.816426+00:00
e,2021-04-11 13:52:49.793509+00:00,2021-04-11 13:52:49.881422+00:00
s,2021-04-11 13:52:50.008762+00:00,2021-04-11 13:52:50.095696+00:00
s,2021-04-11 13:52:50.166296+00:00,2021-04-11 13:52:50.233611+00:00
space,2021-04-11 13:52:50.254636+00:00,2021-04-11 13:52:50.343805+00:00
shift,2021-04-11 13:52:51.520185+00:00,2021-04-11 13:52:51.687355+00:00
e,2021-04-11 13:52:51.802272+00:00,2021-04-11 13:52:51.885725+00:00
t,2021-04-11 13:52:52.173721+00:00,2021-04-11 13:52:52.258836+00:00
backspace,2021-04-11 13:52:53.276710+00:00,2021-04-11 13:52:54.245834+00:00
right,2021-04-11 13:52:54.750947+00:00,2021-04-11 13:52:55.923897+00:00
right,2021-04-11 13:52:56.092896+00:00,2021-04-11 13:52:56.157847+00:00
right,2021-04-11 13:52:56.260776+00:00,2021-04-11 13:52:56.347632+00:00
space,2021-04-11 13:52:56.924938+00:00,2021-04-11 13:52:57.054598+00:00
d,2021-04-11 13:52:58.452392+00:00,2021-04-11 13:52:58.561554+00:00
e,2021-04-11 13:52:58.562276+00:00,2021-04-11 13:52:58.665405+00:00
