key,keydown_time,keyup_time
tab,2021-04-11 12:18:29.575317+00:00,2021-04-11 12:18:29.681857+00:00
tab,2021-04-11 12:18:29.810328+00:00,2021-04-11 12:18:29.917730+00:00
tab,2021-04-11 12:18:30.046510+00:00,2021-04-11 12:18:30.156109+00:00
tab,2021-04-11 12:18:30.242244+00:00,2021-04-11 12:18:30.370673+00:00
alt,2021-04-11 12:18:28.053553+00:00,2021-04-11 12:18:30.475180+00:00
alt,2021-04-11 12:18:31.223472+00:00,2021-04-11 12:18:31.357330+00:00
tab,2021-04-11 12:18:31.291035+00:00,2021-04-11 12:18:31.396979+00:00
tab,2021-04-11 12:18:32.033246+00:00,2021-04-11 12:18:32.120129+00:00
tab,2021-04-11 12:18:32.270401+00:00,2021-04-11 12:18:32.400634+00:00
tab,2021-04-11 12:18:32.829147+00:00,2021-04-11 12:18:32.957161+00:00
tab,2021-04-11 12:18:33.061819+00:00,2021-04-11 12:18:33.150795+00:00
tab,2021-04-11 12:18:33.281313+00:00,2021-04-11 12:18:33.388349+00:00
tab,2021-04-11 12:18:33.471539+00:00,2021-04-11 12:18:33.580209+00:00
alt,2021-04-11 12:18:31.948545+00:00,2021-04-11 12:18:35.134381+00:00
tab,2021-04-11 12:18:35.002611+00:00,2021-04-11 12:18:35.176534+00:00
tab,2021-04-11 12:18:56.039024+00:00,2021-04-11 12:18:56.228671+00:00
tab,2021-04-11 12:18:57.397550+00:00,2021-04-11 12:18:57.549280+00:00
alt,2021-04-11 12:18:55.995660+00:00,2021-04-11 12:18:57.591270+00:00
alt,2021-04-11 13:39:56.852681+00:00,2021-04-11 13:39:57.037477+00:00
tab,2021-04-11 13:39:56.971160+00:00,2021-04-11 13:39:57.098599+00:00
alt,2021-04-11 13:40:07.789110+00:00,2021-04-11 13:40:07.960765+00:00
tab,2021-04-11 13:40:07.873267+00:00,2021-04-11 13:40:08.003006+00:00
alt,2021-04-11 13:40:08.727209+00:00,2021-04-11 13:40:08.899942+00:00
tab,2021-04-11 13:40:08.792593+00:00,2021-04-11 13:40:08.964743+00:00
alt,2021-04-11 13:43:45.006527+00:00,2021-04-11 13:43:45.137321+00:00
tab,2021-04-11 13:43:45.091338+00:00,2021-04-11 13:43:45.201776+00:00
